date,ticker,asset_class,close,currency
2017-11-09,BTC-USD,Crypto,7143.580078125,USD
2017-11-10,BTC-USD,Crypto,6618.14013671875,USD
2017-11-13,BTC-USD,Crypto,6559.490234375,USD
2017-11-14,BTC-USD,Crypto,6635.75,USD
2017-11-15,BTC-USD,Crypto,7315.5400390625,USD
2017-11-16,BTC-USD,Crypto,7871.68994140625,USD
2017-11-17,BTC-USD,Crypto,7708.990234375,USD
2017-11-20,BTC-USD,Crypto,8200.6396484375,USD
2017-11-21,BTC-USD,Crypto,8071.259765625,USD
2017-11-22,BTC-USD,Crypto,8253.5498046875,USD
2017-11-24,BTC-USD,Crypto,8253.6904296875,USD
2017-11-27,BTC-USD,Crypto,9818.349609375,USD
2017-11-28,BTC-USD,Crypto,10058.7998046875,USD
2017-11-29,BTC-USD,Crypto,9888.6103515625,USD
2017-11-30,BTC-USD,Crypto,10233.599609375,USD
2017-12-01,BTC-USD,Crypto,10975.599609375,USD
2017-12-04,BTC-USD,Crypto,11657.2001953125,USD
2017-12-05,BTC-USD,Crypto,11916.7001953125,USD
2017-12-06,BTC-USD,Crypto,14291.5,USD
2017-12-07,BTC-USD,Crypto,17899.69921875,USD
2017-12-08,BTC-USD,Crypto,16569.400390625,USD
2017-12-11,BTC-USD,Crypto,16936.80078125,USD
2017-12-12,BTC-USD,Crypto,17415.400390625,USD
2017-12-13,BTC-USD,Crypto,16408.19921875,USD
2017-12-14,BTC-USD,Crypto,16564.0,USD
2017-12-15,BTC-USD,Crypto,17706.900390625,USD
2017-12-18,BTC-USD,Crypto,19114.19921875,USD
2017-12-19,BTC-USD,Crypto,17776.69921875,USD
2017-12-20,BTC-USD,Crypto,16624.599609375,USD
2017-12-21,BTC-USD,Crypto,15802.900390625,USD
2017-12-22,BTC-USD,Crypto,13831.7998046875,USD
2017-12-27,BTC-USD,Crypto,15838.5,USD
2017-12-28,BTC-USD,Crypto,14606.5,USD
2017-12-29,BTC-USD,Crypto,14656.2001953125,USD
2018-01-02,BTC-USD,Crypto,14982.099609375,USD
2018-01-03,BTC-USD,Crypto,15201.0,USD
2018-01-04,BTC-USD,Crypto,15599.2001953125,USD
